Date,Sum
1/19/16,17804.35812
1/15/16,17842.86798
1/14/16,17913.1895
1/13/16,17803.79244
1/12/16,17934.71571
1/11/16,17901.86793
1/8/16,17902.28442
1/7/16,17975.8521
1/6/16,18052.56598
1/5/16,18092.415
1/4/16,18075.76653
12/31/15,18112.69525
12/30/15,18156.57964
12/29/15,18228.9359
12/28/15,18207.59291
12/24/15,18224.65437
12/23/15,18232.50564
12/22/15,18221.52366
12/21/15,18179.57152
12/18/15,18145.95996
12/17/15,18145.72662
12/16/15,18165.25483
12/15/15,18164.69576
12/14/15,18078.49294
12/11/15,18133.8332
12/10/15,18203.10213
12/9/15,18196.88014
12/8/15,18181.17117
12/7/15,18256.43109
12/4/15,18291.92952
12/3/15,18224.22273
12/2/15,18224.33927
12/1/15,18215.17084
11/30/15,18137.41528
11/27/15,18150.14114
11/25/15,18125.19404
11/24/15,18122.62911
11/23/15,18166.80318
11/20/15,18205.77676
11/19/15,18233.92028
11/18/15,18232.59588
11/17/15,18174.09937
11/16/15,18165.41627
11/13/15,18151.35004
11/12/15,18177.46673
11/11/15,18204.23881
11/10/15,18277.03865
11/9/15,18280.82871
11/6/15,18323.77855
11/5/15,18302.8528
11/4/15,18307.60962
11/3/15,18302.72663
11/2/15,18300.89491
10/30/15,18297.21479
10/29/15,18299.33125
10/28/15,18280.42493
10/27/15,18136.00391
10/26/15,18282.02985
10/23/15,18327.59758
10/22/15,18311.66244
10/21/15,18288.41191
10/20/15,18294.32273
10/19/15,18341.45138
10/16/15,18346.86294
10/15/15,18531.83795
10/14/15,18501.79632
10/13/15,18407.12731
10/12/15,18426.75405
10/9/15,18373.80015
10/8/15,18331.34378
10/7/15,18303.96252
10/6/15,18227.11618
10/5/15,18210.07213
10/2/15,18093.05244
10/1/15,18108.68152
9/30/15,18134.1896
9/29/15,18032.97955
9/28/15,18071.71009
